scriptures,numbers
"Bible, Book of Mormon, New Testament, Matt. 10, Mark 6, Luke 9",5
"No scriptures",6
"Book of Mormon, New Testament, Matt. 6, Titus, Revelation",7
"Bible",8
"No scriptures",9
"2 Ne. 10, Book of Mormon, Luke 22, D&C 93",10
"No scriptures",11
"Alma 30, Alma 32, Alma 36, Helaman, Book of Mormon",12
"No scriptures",13
"Bible, Hosea, Book of Mormon, Rev.",14
"Doctrine and Covenants",15
"No scriptures",16
"No scriptures",17
"No scriptures",18
"No scriptures",19
"Bible, Book of Mormon",20
"Bible, Book of Mormon, Revelation, Doctrine and Covenants, Joseph Smith Translation",21
"No scriptures",22
"No scriptures",23
"Book of Mormon",24
"No scriptures",25
"No scriptures",26
"Bible, Genesis 1, Book of Mormon",27
"Ex. 32, Leviticus 19, 1 Samuel 1, Ps. 24, Proverbs, Proverbs 16, Proverbs 19, Micah 6, 1 Ne. 15, Jacob 2, Mosiah 2, Mosiah 5, Alma 4, Alma 32, Alma 43, 3 Ne. 12, Mormon 8, Moroni 7, Matt. 6, Matt. 19, Matt. 7, Matt. 21, Matt. 26, Matt. 27, Matt. 22, Mark 8, Luke 17, Luke 3, John 17, John 14, John 4, Acts 8, Acts 3, Acts 10, Rom. 12, 2 Tim. 3, James 5, D&C 133, D&C 89, D&C 59, D&C 11, Abr. 3",28
"D&C 130",29
"Bible, Numbers",30
"No scriptures",31
"Bible, Exodus, Song, Alma 30, Colossians, Hebrews",32
"No scriptures",33
"No scriptures",34
"No scriptures",35
"No scriptures",36
"No scriptures",37
"No scriptures",38
"No scriptures",39
"No scriptures",40
"No scriptures",41
"No scriptures",42
"No scriptures",43
"No scriptures",44
"No scriptures",45
"No scriptures",46
"No scriptures",47
"No scriptures",48
"No scriptures",49
"No scriptures",50
"No scriptures",51
"No scriptures",52
"No scriptures",53
"No scriptures",54
"No scriptures",55
"No scriptures",56
"No scriptures",57
"No scriptures",58
"No scriptures",59
"No scriptures",60
"No scriptures",61
"No scriptures",62
"No scriptures",63
"No scriptures",64
"No scriptures",65
"No scriptures",66
"No scriptures",67
"No scriptures",68
"No scriptures",69
"No scriptures",70
"Book of Mormon, D&C 55",71
"No scriptures",72
"books of certificates and licenses, Daniel 2, Book of Mormon, Revelation",73
"Bible, Book of Mormon",74
"Bible, Book of Mormon",75
"Bible, Book of Mormon",76
"No scriptures",77
"Book of Mormon, Doctrine and Covenants, D&C 93",78
